,Q,Score Type,Time Remaining,Play,ARI,COL
1,1,TD,5:00,Reg Mackworthy 1 yd run. (Cristiano Ronaldo kick),7,0
2,1,TD,2:33,Dustin Evans 1 yd pass from King Bronko. (Cristiano Ronaldo kick),14,0
3,1,FG,0:18,41 yd FG by Bojo Kicksit,14,3
5,2,TD,11:46,Josh Garden 11 yd pass from King Bronko. (Cristiano Ronaldo kick),21,3
6,2,FG,0:36,40 yd FG by Cristiano Ronaldo,24,3
8,3,TD,9:17,Boss Tweed 5 yd run. (Bojo Kicksit kick),24,10
9,3,TD,0:24,Charlie Law 1 yd pass from King Bronko. (Cristiano Ronaldo kick),31,10
11,4,SF,10:13,King Bronko tackled for a safety.,31,12
12,4,TD,7:27,Charlie Law 1 yd pass from King Bronko. (Cristiano Ronaldo kick),38,12
13,4,FG,2:47,34 yd FG by Cristiano Ronaldo,41,12
14,4,FG,0:00,44 yd FG by Cristiano Ronaldo,44,12
