,Q,Score Type,Time Remaining,Play,PHI,LV
1,1,TD,11:03,Josh Garden 5 yd pass from Clifford Rove. (Stephen Harris kick),7,0
2,1,FG,6:56,43 yd FG by Bojo Kicksit,7,3
3,1,TD,4:31,Josh Garden 13 yd pass from Clifford Rove. (Stephen Harris kick),14,3
5,2,TD,9:15,John Baker 20 yd pass from Logan Noble. (Bojo Kicksit kick),14,10
7,3,FG,9:03,36 yd FG by Bojo Kicksit,14,13
8,3,TD,3:45,Damien Kroetch 11 yd pass from Clifford Rove. (Stephen Harris kick),21,13
10,4,TD,13:43,Ardie Savea 4 yd run. (2pt conversion good),21,21
11,4,TD,5:55,John Baker 3 yd pass from Logan Noble. (Bojo Kicksit kick),21,28
12,4,TD,2:57,Josh Garden 14 yd pass from Clifford Rove. (Stephen Harris kick),28,28
14,5,TD,5:52,Fox North 6 yd pass from Clifford Rove.,34,28
