,Q,Score Type,Time Remaining,Play,LV,BAL
1,1,TD,3:13,Trey Willie 21 yd pass from Avon Blocksdale. (Turk Turkleton kick),0,7
3,2,TD,12:59,Trey Willie 27 yd pass from Avon Blocksdale. (Turk Turkleton kick),0,14
4,2,TD,9:02,Owen Taylor 2 yd run. (Turk Turkleton kick),0,21
5,2,TD,5:29,Fresh Booter 4 yd pass from Logan Noble. (Bojo Kicksit XP no good),6,21
6,2,TD,4:50,Alexandre LeClair 8 yd pass from Avon Blocksdale. (Turk Turkleton kick),6,28
7,2,TD,0:52,Dustin Evans 1 yd pass from Logan Noble. (Bojo Kicksit kick),13,28
9,3,FG,11:48,34 yd FG by Turk Turkleton,13,31
10,3,TD,3:44,Fresh Booter 12 yd pass from Logan Noble. (Bojo Kicksit kick),20,31
12,4,TD,12:42,Owen Taylor 5 yd pass from Avon Blocksdale. (Turk Turkleton kick),20,38
13,4,TD,6:11,Ragnar Kronen 28 yd interception return. (Bojo Kicksit kick),27,38
