,Q,Score Type,Time Remaining,Play,LV,AZ
1,1,TD,9:11,Ragnar Kronen 44 yd interception return. (Bojo Kicksit kick),7,0
2,1,TD,7:22,Budda Browning 68 yd pass from King Bronko. (Dean Jackson kick),7,7
3,1,TD,1:02,Budda Browning 4 yd pass from King Bronko. (Dean Jackson kick),7,14
5,2,FG,13:28,41 yd FG by Bojo Kicksit,10,14
6,2,FG,7:33,30 yd FG by Bojo Kicksit,13,14
7,2,TD,5:37,Charlie Law 11 yd pass from King Bronko. (Dean Jackson kick),13,21
8,2,FG,0:22,28 yd FG by Dean Jackson,13,24
10,3,FG,13:18,47 yd FG by Bojo Kicksit,16,24
11,3,TD,9:45,Charlie Law 19 yd pass from King Bronko. (Dean Jackson kick),16,31
12,3,TD,6:31,Charles Arthur Chess 52 yd pass from King Bronko. (Dean Jackson kick),16,38
13,3,TD,4:24,Allen Davis 37 yd pass from King Bronko. (Dean Jackson kick),16,45
14,3,TD,3:41,Joseph Askins 1 yd pass from Logan Noble. (Bojo Kicksit kick),23,45
15,3,TD,0:19,Fresh Booter 9 yd pass from Logan Noble. (Bojo Kicksit kick),30,45
17,4,FG,13:47,22 yd FG by Bojo Kicksit,33,45
18,4,TD,10:30,Omar Wright 3 yd run. (Dean Jackson kick),33,52
