,Q,Score Type,Time Remaining,Play,SJS,LV
1,1,FG,12:11,24 yd FG by Iyah Blewitt,3,0
2,1,FG,7:32,24 yd FG by Iyah Blewitt,6,0
3,1,TD,3:45,Ardie Savea 4 yd run. (Bojo Kicksit kick),6,7
5,2,FG,12:31,41 yd FG by Bojo Kicksit,6,10
6,2,TD,0:38,Luke Washington 18 yd interception return. (Bojo Kicksit XP no good),6,16
8,3,TD,8:08,Dustin Evans 11 yd pass from Logan Noble. (Bojo Kicksit kick),6,23
9,3,TD,4:14,Mayran Jackson 12 yd pass from Chris Orosz. (Iyah Blewitt kick),13,23
10,3,TD,0:28,Dustin Evans 12 yd pass from Logan Noble. (Bojo Kicksit kick),13,30
12,4,TD,6:29,Kenny Omega 2 yd pass from Logan Noble. (Bojo Kicksit kick),13,37
13,4,TD,2:24,Darren Smallwood 8 yd run. (Iyah Blewitt XP no good),19,37
