,Q,Score Type,Time Remaining,Play,LV,PHI
1,1,FG,11:43,40 yd FG by Stephen Harris,0,3
2,1,FG,8:12,31 yd FG by Bojo Kicksit,3,3
3,1,TD,5:15,Vikian Marmeladov 6 yd interception return. (Stephen Harris kick),3,10
4,1,FG,3:45,17 yd FG by Stephen Harris,3,13
5,1,TD,1:13,Kyle Cobb 27 yd pass from Logan Noble. (Bojo Kicksit kick),10,13
7,2,TD,12:58,Josh Garden 8 yd pass from Clifford Rove. (Stephen Harris kick),10,20
8,2,FG,9:08,27 yd FG by Bojo Kicksit,13,20
9,2,FG,5:25,29 yd FG by Bojo Kicksit,16,20
10,2,FG,1:41,36 yd FG by Stephen Harris,16,23
12,3,TD,11:45,Ardie Savea 3 yd run. (Bojo Kicksit kick),23,23
13,3,FG,3:00,21 yd FG by Stephen Harris,23,26
15,4,FG,15:00,46 yd FG by Stephen Harris,23,29
16,4,TD,13:47,Paul DiMirio 1 yd pass from Clifford Rove. (Stephen Harris kick),23,36
17,4,FG,12:05,44 yd FG by Bojo Kicksit,26,36
