,Q,Score Type,Time Remaining,Play,BAL,OCO
1,1,TD,10:29,Jordan Yates 6 yd pass from Mike Boss. (Bradley Madlad kick),0,7
2,1,TD,3:39,Jordan Yates 57 yd pass from Mike Boss. (Bradley Madlad kick),0,14
4,2,TD,13:41,Steven O'Sullivan 6 yd pass from Mike Boss. (Bradley Madlad XP no good),0,20
5,2,TD,11:25,Trey Willie 57 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,20
6,2,FG,0:29,28 yd FG by Bradley Madlad,7,23
8,3,TD,7:17,Jack Durden 1 yd run. (Bradley Madlad kick),7,30
9,3,FG,1:01,40 yd FG by Turk Turkleton,10,30
11,4,TD,11:49,Jack Durden 30 yd pass from Mike Boss. (Bradley Madlad kick),10,37
12,4,TD,4:33,John Wachter 14 yd pass from Avon Blocksdale. (Turk Turkleton kick),17,37
13,4,TD,2:12,John Wachter 12 yd pass from Avon Blocksdale. (Turk Turkleton kick),24,37
