Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"O'Sullivan, S.",OCO,9,72,8,13,1,12,5
"Yates, J.",OCO,8,136,17,57,2,12,5
"Westfield, B.",OCO,6,109,18.2,39,0,12,5
"Burnsman, E.",OCO,4,31,7.8,9,0,12,5
"Petrakis, A.",OCO,4,17,4.2,14,0,12,5
"Phelps, R.",OCO,3,119,39.7,69,0,12,5
"Durden, J.",OCO,2,38,19,30,1,12,5
"LeClair, A.",BAL,7,109,15.6,45,0,12,5
"Willie, T.",BAL,5,128,25.6,57,1,12,5
"Wachter, J.",BAL,5,57,11.4,16,2,12,5
"Stormblessed, N.",BAL,2,16,8,10,0,12,5
"Taylor, O.",BAL,2,0,0,0,0,12,5
"Koch, D.",BAL,1,2,2,2,0,12,5
