,Q,Score Type,Time Remaining,Play,AZ,OCO
2,2,TD,13:23,Bradley Westfield 12 yd pass from Mike Boss. (Bradley Madlad kick),0,7
3,2,TD,7:12,Bradley Westfield 25 yd pass from Mike Boss. (Bradley Madlad kick),0,14
4,2,FG,2:04,40 yd FG by Bradley Madlad,0,17
5,2,FG,0:17,42 yd FG by Bradley Madlad,0,20
7,3,FG,12:13,32 yd FG by Bradley Madlad,0,23
8,3,TD,8:51,Jordan Yates 2 yd run. (Bradley Madlad kick),0,30
9,3,TD,5:50,Jordan Yates 4 yd run. (Bradley Madlad kick),0,37
11,4,TD,12:11,Jordan Yates 29 yd pass from Mike Boss. (Bradley Madlad kick),0,44
12,4,TD,5:33,Reg Mackworthy 24 yd pass from King Bronko. (Dean Jackson kick),7,44
13,4,TD,0:28,Damian West 15 yd pass from King Bronko. (Dean Jackson kick),14,44
