,Q,Score Type,Time Remaining,Play,PHI,BAL
1,1,FG,4:28,29 yd FG by Turk Turkleton,0,3
3,2,TD,10:26,Damien Kroetch 11 yd run. (Stephen Harris kick),7,3
4,2,TD,5:59,Owen Taylor 4 yd run. (Turk Turkleton kick),7,10
6,3,FG,11:02,36 yd FG by Turk Turkleton,7,13
7,3,TD,7:08,Paul DiMirio 13 yd pass from Tyler Oles. (Stephen Harris kick),14,13
8,3,TD,4:28,Alexandre LeClair 34 yd pass from Avon Blocksdale. (Turk Turkleton kick),14,20
9,3,FG,3:04,53 yd FG by Stephen Harris,17,20
10,3,TD,0:15,Trey Willie 27 yd pass from Avon Blocksdale. (Turk Turkleton kick),17,27
12,4,TD,6:54,Alexandre LeClair 5 yd pass from Avon Blocksdale. (Turk Turkleton kick),17,34
13,4,FG,0:00,34 yd FG by Turk Turkleton,17,37
