,Q,Score Type,Time Remaining,Play,OCO,YKW
1,1,SF,11:48,Mat Akselsen tackled for a safety.,2,0
2,1,FG,5:13,46 yd FG by Bradley Madlad,5,0
3,1,TD,1:53,Robert Phelps 3 yd pass from Mike Boss. (Bradley Madlad kick),12,0
5,2,TD,13:24,Jordan Yates 23 yd pass from Mike Boss. (Bradley Madlad kick),19,0
6,2,TD,13:09,Bailey Cook 91 yd kickoff return. (None Forfeit kick),19,7
7,2,TD,2:35,Erlich Burnsman 11 yd run. (Bradley Madlad XP no good),25,7
9,3,TD,9:29,Steven O'Sullivan 1 yd pass from Mike Boss. (Bradley Madlad kick),32,7
10,3,FG,6:21,33 yd FG by None Forfeit,32,10
11,3,TD,0:00,Erlich Burnsman 4 yd run. (Bradley Madlad kick),39,10
13,4,FG,8:54,34 yd FG by None Forfeit,39,13
