,Q,Score Type,Time Remaining,Play,AZ,COL
1,1,FG,9:36,47 yd FG by Micycle McCormick,0,3
2,1,TD,4:21,Michael Tillman 27 yd interception return. (Micycle McCormick kick),0,10
4,2,TD,11:29,Budda Browning 27 yd pass from King Bronko. (Dean Jackson kick),7,10
5,2,TD,10:47,Carlito Crush 14 yd pass from Nicholas Pierno. (Micycle McCormick kick),7,17
6,2,TD,8:28,Budda Browning 24 yd pass from King Bronko. (Dean Jackson kick),14,17
8,3,TD,10:04,Charles Arthur Chess 5 yd pass from King Bronko. (Dean Jackson kick),21,17
9,3,FG,6:38,23 yd FG by Dean Jackson,24,17
10,3,FG,3:00,35 yd FG by Dean Jackson,27,17
12,4,TD,13:41,Reg Mackworthy 3 yd pass from King Bronko. (Dean Jackson kick),34,17
13,4,FG,8:46,41 yd FG by Dean Jackson,37,17
14,4,TD,3:22,Brian Wheat 10 yd pass from Nicholas Pierno. (Micycle McCormick kick),37,24
