,Q,Score Type,Time Remaining,Play,PHI,AZ
1,1,TD,10:10,Josh Garden 2 yd pass from Tyler Oles. (Stephen Harris kick),7,0
2,1,TD,6:19,Charles Arthur Chess 7 yd pass from King Bronko. (Dean Jackson kick),7,7
3,1,TD,3:51,Budda Browning 18 yd pass from King Bronko. (Dean Jackson kick),7,14
5,2,FG,14:07,35 yd FG by Dean Jackson,7,17
6,2,TD,6:40,Budda Browning 8 yd pass from King Bronko. (Dean Jackson XP no good),7,23
7,2,FG,4:27,26 yd FG by Stephen Harris,10,23
8,2,TD,4:11,Reg Mackworthy 107 yd kickoff return. (Dean Jackson kick),10,30
9,2,TD,0:42,Paul DiMirio 6 yd pass from Tyler Oles. (Stephen Harris kick),17,30
11,3,TD,9:58,Fox North 7 yd pass from Tyler Oles. (Stephen Harris kick),24,30
12,3,FG,6:10,27 yd FG by Dean Jackson,24,33
14,4,TD,8:23,Damien Kroetch 10 yd pass from Tyler Oles. (Stephen Harris kick),31,33
