,Q,Score Type,Time Remaining,Play,PHI,NO
1,1,TD,11:22,Paul DiMirio 9 yd pass from Tyler Oles. (Stephen Harris kick),7,0
2,1,FG,9:29,54 yd FG by Peg Leg,7,3
3,1,TD,6:00,Damien Kroetch 5 yd run. (Stephen Harris XP no good),13,3
4,1,FG,0:56,38 yd FG by Stephen Harris,16,3
6,2,TD,8:42,Fox North 14 yd pass from Tyler Oles. (Stephen Harris kick),23,3
7,2,FG,2:58,46 yd FG by Peg Leg,23,6
9,3,TD,6:39,Fresh Booter 13 yd pass from Borkus Maximus III. (Peg Leg XP no good),23,12
10,3,TD,1:23,Damien Kroetch 3 yd run. (Stephen Harris kick),30,12
12,4,TD,6:44,Ardie Savea 16 yd pass from Borkus Maximus III. (Peg Leg XP no good),30,18
13,4,TD,2:33,Damien Kroetch 3 yd run. (Stephen Harris kick),37,18
