,Q,Score Type,Time Remaining,Play,COL,OCO
1,1,FG,5:17,24 yd FG by Bradley Madlad,0,3
2,1,TD,1:43,Tegan Atwell 11 yd pass from Mike Boss. (Bradley Madlad kick),0,10
4,2,FG,14:38,29 yd FG by Micycle McCormick,3,10
5,2,FG,12:22,30 yd FG by Bradley Madlad,3,13
6,2,FG,10:10,42 yd FG by Micycle McCormick,6,13
7,2,TD,7:01,Robert Phelps 5 yd pass from Mike Boss. (Bradley Madlad kick),6,20
8,2,TD,4:06,Bradley Westfield 2 yd pass from Mike Boss. (Bradley Madlad kick),6,27
10,3,TD,12:49,Jordan Yates 19 yd pass from Mike Boss. (Bradley Madlad kick),6,34
11,3,TD,9:53,Erlich Burnsman 9 yd pass from Mike Boss. (Bradley Madlad XP no good),6,40
12,3,TD,6:29,Jordan Yates 26 yd pass from Mike Boss. (Bradley Madlad kick),6,47
13,3,TD,3:10,Jordan Yates 23 yd pass from Mike Boss. (Bradley Madlad XP no good),6,53
14,3,FG,0:51,43 yd FG by Micycle McCormick,9,53
16,4,FG,5:17,44 yd FG by Bradley Madlad,9,56
17,4,TD,2:33,Bubba Nuck 1 yd run. (Micycle McCormick kick),16,56
18,4,FG,0:00,44 yd FG by Bradley Madlad,16,59
