,Q,Score Type,Time Remaining,Play,NO,YKW
1,1,TD,6:29,Robby Rainey 2 yd run. (None Forfeit kick),0,7
2,1,FG,3:43,49 yd FG by None Forfeit,0,10
4,2,TD,9:57,Robby Rainey 2 yd run. (None Forfeit kick),0,17
5,2,FG,7:56,47 yd FG by Peg Leg,3,17
6,2,TD,2:40,Bailey Cook 46 yd pass from Mat Akselsen. (None Forfeit XP no good),3,23
7,2,TD,2:15,Philippe Carter 26 yd interception return. (None Forfeit kick),3,30
9,3,TD,10:56,Ardie Savea 1 yd run. (Peg Leg kick),10,30
10,3,TD,7:45,Mat Akselsen 3 yd run. (None Forfeit kick),10,37
11,3,TD,4:23,Dermot Lavelle 21 yd pass from Mat Akselsen. (None Forfeit kick),10,44
13,4,FG,11:06,35 yd FG by Peg Leg,13,44
14,4,FG,7:03,28 yd FG by None Forfeit,13,47
15,4,TD,3:54,Ardie Savea 5 yd run. (Peg Leg kick),20,47
16,4,TD,0:09,Cesar Milan 8 yd run. (None Forfeit kick),20,54
