,Q,Score Type,Time Remaining,Play,BAL,YKW
1,1,TD,3:39,Mat Akselsen 1 yd run. (None Forfeit kick),0,7
3,2,FG,12:59,25 yd FG by None Forfeit,0,10
4,2,FG,9:47,37 yd FG by Turk Turkleton,3,10
5,2,TD,8:09,Robby Rainey 3 yd run. (None Forfeit kick),3,17
6,2,TD,4:52,Verso (R) L'Alto 11 yd pass from Avon Blocksdale. (Turk Turkleton kick),10,17
8,3,FG,11:27,37 yd FG by Turk Turkleton,13,17
9,3,TD,0:00,Mat Akselsen 2 yd run. (None Forfeit kick),13,24
11,4,FG,12:51,41 yd FG by Turk Turkleton,16,24
12,4,TD,12:36,Bailey Cook 102 yd kickoff return. (None Forfeit kick),16,31
13,4,FG,8:41,21 yd FG by Turk Turkleton,19,31
14,4,FG,4:10,42 yd FG by Turk Turkleton,22,31
15,4,TD,0:30,Mat Akselsen 3 yd run. (None Forfeit kick),22,38
