,Q,Score Type,Time Remaining,Play,SJS,AZ
1,1,FG,9:14,22 yd FG by Dean Jackson,0,3
2,1,FG,6:58,20 yd FG by Iyah Blewitt,3,3
3,1,FG,4:27,39 yd FG by Iyah Blewitt,6,3
5,2,FG,14:22,43 yd FG by Iyah Blewitt,9,3
6,2,TD,14:05,Budda Browning 105 yd kickoff return. (Dean Jackson kick),9,10
7,2,FG,8:42,29 yd FG by Iyah Blewitt,12,10
8,2,TD,3:31,Reg Mackworthy 1 yd run. (Dean Jackson kick),12,17
10,3,TD,7:55,Shane Weston 33 yd pass from Chris Orosz. (Iyah Blewitt kick),19,17
12,4,TD,11:12,Reg Mackworthy 2 yd pass from King Bronko. (Dean Jackson kick),19,24
13,4,FG,4:01,35 yd FG by Iyah Blewitt,22,24
