,Q,Score Type,Time Remaining,Play,SJS,BAL
1,1,TD,13:26,Darnell Turner 30 yd interception return. (Turk Turkleton XP no good),0,6
2,1,TD,7:49,Alexandre LeClair 21 yd pass from Avon Blocksdale. (Turk Turkleton kick),0,13
4,2,TD,5:11,Trey Willie 20 yd pass from Avon Blocksdale. (Turk Turkleton kick),0,20
5,2,TD,3:47,Denzel Diaz 3 yd run. (Iyah Blewitt kick),7,20
6,2,FG,0:25,26 yd FG by Turk Turkleton,7,23
8,3,TD,7:08,Trey Willie 11 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,30
9,3,FG,4:29,46 yd FG by Iyah Blewitt,10,30
10,3,FG,0:19,53 yd FG by Turk Turkleton,10,33
12,4,TD,8:58,Denzel Diaz 1 yd run. (Iyah Blewitt kick),17,33
13,4,TD,3:45,Alexandre LeClair 43 yd pass from Avon Blocksdale. (Turk Turkleton kick),17,40
