,Q,Score Type,Time Remaining,Play,OCO,SJS
1,1,TD,8:26,Mayran Jackson 1 yd pass from Brad (R) Pennington. (Iyah Blewitt kick),0,7
2,1,FG,6:01,55 yd FG by Iyah Blewitt,0,10
3,1,FG,3:47,45 yd FG by Bradley Madlad,3,10
5,2,TD,12:36,Tegan Atwell 14 yd pass from Mike Boss. (Bradley Madlad kick),10,10
6,2,TD,8:41,Carlito Crush 37 yd pass from Mike Boss. (Bradley Madlad kick),17,10
8,3,FG,9:14,28 yd FG by Bradley Madlad,20,10
9,3,FG,0:07,37 yd FG by Iyah Blewitt,20,13
11,4,TD,13:24,Jordan Yates 35 yd pass from Mike Boss. (Bradley Madlad kick),27,13
12,4,TD,6:39,Tegan Atwell 8 yd pass from Mike Boss. (Bradley Madlad kick),34,13
13,4,FG,0:27,20 yd FG by Bradley Madlad,37,13
