,Q,Score Type,Time Remaining,Play,SJS,PHI
1,1,FG,10:40,35 yd FG by Iyah Blewitt,3,0
2,1,TD,5:28,Paul DiMirio 14 yd pass from Tyler Oles. (Stephen Harris kick),3,7
4,2,FG,14:35,19 yd FG by Stephen Harris,3,10
5,2,TD,10:29,Paul DiMirio 15 yd pass from Tyler Oles. (Stephen Harris kick),3,17
6,2,TD,8:04,Josh Garden 1 yd pass from Tyler Oles. (Stephen Harris kick),3,24
7,2,FG,1:34,19 yd FG by Stephen Harris,3,27
9,3,TD,12:15,Carter Bush 5 yd pass from Tyler Oles. (Stephen Harris kick),3,34
10,3,FG,8:27,38 yd FG by Iyah Blewitt,6,34
11,3,TD,4:54,Damien Kroetch 1 yd run. (Stephen Harris kick),6,41
12,3,TD,2:02,John Canton 9 yd interception return. (Iyah Blewitt kick),13,41
14,4,TD,12:49,Vikian Marmeladov 26 yd interception return. (Stephen Harris kick),13,48
15,4,TD,0:29,Damian West 1 yd pass from Brad (R) Pennington. (Iyah Blewitt kick),20,48
