,Q,Score Type,Time Remaining,Play,PHI,OCO
1,1,FG,11:02,31 yd FG by Stephen Harris,3,0
2,1,FG,2:18,56 yd FG by Bradley Madlad,3,3
4,2,TD,12:47,Bradley Westfield 25 yd pass from Mike Boss. (Bradley Madlad kick),3,10
5,2,TD,8:57,Fox North 8 yd pass from Tyler Oles. (Stephen Harris kick),10,10
6,2,TD,3:34,Bradley Westfield 1 yd pass from Mike Boss. (Bradley Madlad kick),10,17
7,2,TD,0:51,Tegan Atwell 57 yd pass from Mike Boss. (Bradley Madlad kick),10,24
9,3,TD,6:39,Jordan Yates 2 yd run. (Bradley Madlad kick),10,31
11,4,TD,13:49,Erlich Burnsman 5 yd run. (Bradley Madlad kick),10,38
12,4,FG,9:38,40 yd FG by Bradley Madlad,10,41
13,4,TD,7:13,Darlane Farlane 8 yd run. (Stephen Harris XP no good),16,41
14,4,FG,5:02,22 yd FG by Bradley Madlad,16,44
