,Q,Score Type,Time Remaining,Play,OCO,PHI
1,1,TD,11:32,Josh Garden 6 yd pass from Tyler Oles. (Stephen Harris kick),0,7
2,1,FG,5:28,45 yd FG by Stephen Harris,0,10
4,2,TD,12:31,Blessed Storm 6 yd pass from Tyler Oles. (Stephen Harris kick),0,17
5,2,TD,9:51,Jordan Yates 1 yd run. (Bradley Madlad kick),7,17
6,2,FG,0:29,50 yd FG by Stephen Harris,7,20
8,3,TD,9:43,Josh Garden 2 yd pass from Tyler Oles. (Stephen Harris kick),7,27
9,3,FG,7:05,43 yd FG by Bradley Madlad,10,27
10,3,TD,5:35,Jordan Yates 3 yd run. (Bradley Madlad kick),17,27
11,3,TD,1:17,Robert Phelps 1 yd pass from Mike Boss. (Bradley Madlad kick),24,27
13,4,TD,6:13,Robert Phelps 9 yd pass from Mike Boss. (Bradley Madlad kick),31,27
