,Q,Score Type,Time Remaining,Play,BAL,SJS
1,1,TD,3:30,Alexandre LeClair 10 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,0
3,2,TD,11:27,Alexandre LeClair 6 yd pass from Avon Blocksdale. (Turk Turkleton XP no good),13,0
4,2,FG,8:37,39 yd FG by Turk Turkleton,16,0
5,2,FG,4:38,44 yd FG by Iyah Blewitt,16,3
6,2,FG,0:24,40 yd FG by Iyah Blewitt,16,6
8,3,TD,7:17,Owen Taylor 1 yd run. (Turk Turkleton kick),23,6
9,3,TD,3:55,Owen Taylor 7 yd run. (Turk Turkleton kick),30,6
10,3,TD,2:57,Owen Taylor 1 yd run. (Turk Turkleton kick),37,6
12,4,FG,14:29,21 yd FG by Iyah Blewitt,37,9
13,4,FG,10:05,36 yd FG by Turk Turkleton,40,9
14,4,TD,4:30,Owen Taylor 8 yd pass from Avon Blocksdale. (Turk Turkleton kick),47,9
15,4,TD,2:46,Owen Taylor 1 yd run. (Turk Turkleton kick),54,9
