,Q,Score Type,Time Remaining,Play,YKW,NO
1,1,TD,14:44,Dermot Lavelle 98 yd kickoff return. (None Forfeit kick),7,0
2,1,FG,11:12,33 yd FG by None Forfeit,10,0
4,2,TD,4:38,Charlie Law 19 yd pass from Borkus Maximus III. (Iyah Blewitt kick),10,7
5,2,FG,0:20,22 yd FG by None Forfeit,13,7
7,3,TD,11:24,Eric Kennedy 10 yd pass from Mat Akselsen. (None Forfeit kick),20,7
8,3,TD,7:47,Charlie Law 13 yd pass from Borkus Maximus III. (Iyah Blewitt kick),20,14
9,3,FG,2:47,40 yd FG by None Forfeit,23,14
10,3,FG,0:47,42 yd FG by Iyah Blewitt,23,17
12,4,TD,9:25,Robby Rainey 1 yd run. (None Forfeit kick),30,17
13,4,TD,0:29,Darren Smallwood 2 yd pass from Borkus Maximus III. (Iyah Blewitt kick),30,24
