,Q,Score Type,Time Remaining,Play,NO,BAL
1,1,FG,11:51,33 yd FG by Peg Leg,3,0
2,1,TD,5:40,Charlie Law 8 yd pass from Borkus Maximus III. (Peg Leg kick),10,0
3,1,TD,3:03,Carter Bush 33 yd pass from Avon Blocksdale. (Turk Turkleton kick),10,7
5,2,TD,14:25,Carlito Crush 8 yd pass from Borkus Maximus III. (Peg Leg kick),17,7
6,2,FG,12:12,29 yd FG by Turk Turkleton,17,10
7,2,FG,3:00,20 yd FG by Turk Turkleton,17,13
8,2,FG,0:14,28 yd FG by Turk Turkleton,17,16
10,3,FG,11:57,40 yd FG by Turk Turkleton,17,19
11,3,TD,6:56,Alexandre LeClair 18 yd pass from Borkus Maximus III. (Peg Leg XP no good),23,19
12,3,TD,4:45,Trey Willie 3 yd pass from Avon Blocksdale. (Turk Turkleton kick),23,26
14,4,FG,13:48,33 yd FG by Turk Turkleton,23,29
