,Q,Score Type,Time Remaining,Play,BAL,OCO
1,1,TD,4:44,None (R) Sunnycursed 3 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),0,7
2,1,TD,0:00,Yulic (R) Nagasawa 26 yd pass from Childish Gambino. (Turk Turkleton kick),7,7
4,2,TD,13:52,Antonio Summer 2 yd run. (Turk Turkleton kick),14,7
5,2,TD,11:09,Carlito Crush 27 yd pass from Gus T.T. Showbiz. (Adam Anderson XP no good),14,13
6,2,TD,6:29,None (R) Sunnycursed 15 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),14,20
7,2,FG,3:19,41 yd FG by Turk Turkleton,17,20
9,3,TD,13:21,Seer Zephyrous 1 yd run. (Adam Anderson kick),17,27
10,3,TD,6:34,Ricky Adams 24 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),17,34
11,3,TD,3:35,Ricky Adams 10 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),17,41
13,4,TD,12:11,Seer Zephyrous 1 yd run. (Adam Anderson kick),17,48
14,4,TD,7:50,Blackford Oakes 44 yd interception return. (Turk Turkleton kick),24,48
