,Q,Score Type,Time Remaining,Play,PHI,COL
1,1,TD,10:48,Verso L'Alto 1 yd pass from Micycle McCormick. (Kyle Corbett kick),0,7
2,1,TD,7:23,Mark Grau 5 yd pass from Micycle McCormick. (Kyle Corbett kick),0,14
3,1,TD,2:27,Jordan von Matt 15 yd pass from Adriana Falconi. (Kulture Fulture kick),7,14
5,2,TD,13:04,Mark Grau 5 yd run. (Kyle Corbett kick),7,21
6,2,TD,11:13,Howard Miller 13 yd pass from Micycle McCormick. (Kyle Corbett kick),7,28
7,2,FG,5:21,40 yd FG by Kyle Corbett,7,31
9,3,TD,10:16,Howard Miller 1 yd pass from Micycle McCormick. (Kyle Corbett XP no good),7,37
10,3,FG,7:26,28 yd FG by Kulture Fulture,10,37
11,3,TD,4:28,Devo Cansino 1 yd run. (Kyle Corbett kick),10,44
13,4,TD,10:31,Devo Cansino 1 yd run. (Kyle Corbett XP no good),10,50
14,4,TD,6:45,Marquise Brown 4 yd run. (Kulture Fulture kick),17,50
15,4,FG,4:28,42 yd FG by Kulture Fulture,20,50
16,4,TD,0:23,Sam Hardwick 4 yd pass from Adriana Falconi. (Kulture Fulture kick),27,50
