Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Tillman, M.",COL,9,0,1,0/0,1,1,0,0,"[0, 0, 0]"
"Mills, B.",COL,8,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Lejune, L.",COL,7,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Oakes, B.",COL,5,0,0,0/0,1,1,0,0,"[0, 0, 0]"
"Hornbacher, A.",COL,4,0,0,0/0,5,1,0,0,"[0, 0, 0]"
"Montgomery, B.",COL,4,0,0,0/0,3,2,0,0,"[0, 0, 0]"
"Sachs, J.",COL,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Danger, D.",COL,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Ishigawa, H.",COL,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Marrett, O.",COL,1,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Wrong, O.",COL,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"McCormick, M.",COL,0,0,0,0/1,0,0,0,0,"[0, 0, 0]"
"Cox III, J.",PHI,8,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Weathers III, B.",PHI,7,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Garnett, L.",PHI,6,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Becker, K.",PHI,5,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Felix, L.",PHI,5,0,0,0/0,4,1,0,0,"[0, 0, 1]"
"Steele, C.",PHI,5,0,0,0/0,1,1,0,0,"[0, 0, 0]"
"Towers, J.",PHI,4,0,0,1/0,1,0,0,0,"[0, 0, 0]"
"Dwyer, J.",PHI,3,2,0,0/0,0,0,0,0,"[0, 0, 0]"
"Smyles, L.",PHI,3,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Kalilmoku, I.",PHI,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
