,Q,Score Type,Time Remaining,Play,PHI,BAL
1,1,TD,8:01,Errol Maddox 10 yd pass from Childish Gambino. (Alex Frost kick),0,7
2,1,FG,3:47,25 yd FG by Kulture Fulture,3,7
4,2,TD,10:33,Roger Batoff 8 yd pass from Adriana Falconi. (Kulture Fulture kick),10,7
5,2,TD,5:02,Marquise Brown 4 yd run. (Alex Frost kick),10,14
7,3,TD,9:22,Marquise Brown 5 yd run. (Alex Frost kick),10,21
8,3,TD,1:54,Corwin Davenport 1 yd pass from Adriana Falconi. (Kulture Fulture kick),17,21
10,4,TD,14:08,Viggo Squanch 7 yd pass from Childish Gambino. (Alex Frost kick),17,28
11,4,FG,8:44,55 yd FG by Kulture Fulture,20,28
12,4,TD,4:58,Roger Batoff 47 yd pass from Adriana Falconi. (2pt conversion good),28,28
13,4,FG,0:19,32 yd FG by Kulture Fulture,31,28
