,Q,Score Type,Time Remaining,Play,PHI,SJS
1,1,FG,9:04,37 yd FG by Kulture Fulture,3,0
2,1,FG,4:20,38 yd FG by Neo Donaldson,3,3
4,2,FG,13:10,21 yd FG by Neo Donaldson,3,6
5,2,TD,10:59,Bucky Barnes 46 yd interception return. (Kulture Fulture kick),10,6
6,2,TD,6:00,Fast (R) Boija 2 yd run. (Kulture Fulture kick),17,6
7,2,FG,3:21,45 yd FG by Neo Donaldson,17,9
8,2,TD,2:29,Xavier Flash 3 yd pass from Joliet L. Christ. (Neo Donaldson kick),17,16
10,3,FG,9:35,19 yd FG by Neo Donaldson,17,19
11,3,TD,2:21,Zapp Brannigan 2 yd pass from Joliet L. Christ. (Neo Donaldson kick),17,26
13,4,TD,12:53,Jordan von Matt 12 yd pass from Adriana Falconi. (Kulture Fulture kick),24,26
14,4,FG,8:29,23 yd FG by Neo Donaldson,24,29
15,4,TD,1:26,Chris Orosz 2 yd run. (Neo Donaldson kick),24,36
