,Q,Score Type,Time Remaining,Play,OCO,SJS
1,1,FG,12:16,33 yd FG by Alex Dasistwirklichseinnachname,3,0
2,1,TD,9:09,Apollo Reed 5 yd run. (Alex Dasistwirklichseinnachname kick),10,0
3,1,TD,4:51,Cameron Olsen 11 yd pass from Joliet L. Christ. (Neo Donaldson kick),10,7
5,2,FG,14:15,28 yd FG by Neo Donaldson,10,10
6,2,TD,9:28,Joliet L. Christ 1 yd run. (Neo Donaldson kick),10,17
7,2,FG,4:23,44 yd FG by Neo Donaldson,10,20
9,3,FG,8:31,34 yd FG by Neo Donaldson,10,23
10,3,TD,3:43,Apollo Reed 4 yd run. (Alex Dasistwirklichseinnachname kick),17,23
12,4,TD,14:27,Corwin Davenport 1 yd run. (Neo Donaldson kick),17,30
13,4,TD,0:59,Chris Orosz 3 yd run. (Neo Donaldson kick),17,37
