,Q,Score Type,Time Remaining,Play,PHI,YKW
1,1,TD,3:26,Jerrod Canton 3 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),0,7
2,1,TD,1:34,Vander Jones 4 yd run. (Kyle Frost kick),7,7
4,2,TD,14:50,Jerrod Canton 2 yd run. (Stephen Harris Jr kick),7,14
5,2,TD,8:32,Zapp Brannigan 12 yd pass from Adriana Falconi. (Kyle Frost kick),14,14
6,2,TD,5:55,Jerrod Canton 3 yd run. (Stephen Harris Jr kick),14,21
7,2,TD,2:37,Nacho Varga 1 yd pass from Adriana Falconi. (Kyle Frost kick),21,21
8,2,FG,0:14,25 yd FG by Stephen Harris Jr,21,24
10,3,TD,9:14,Jerrod Canton 10 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),21,31
11,3,TD,3:11,Vander Jones 2 yd run. (Kyle Frost kick),28,31
13,4,TD,6:38,Nacho Varga 5 yd pass from Adriana Falconi. (Kyle Frost kick),35,31
14,4,FG,3:20,34 yd FG by Stephen Harris Jr,35,34
