,Q,Score Type,Time Remaining,Play,NO,OCO
1,1,TD,6:49,Adrian Pitcher 4 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),0,7
2,1,TD,3:48,Vinny Valentine 34 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),0,14
4,2,TD,13:49,None Sunnycursed 9 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),0,21
5,2,TD,4:51,Vladimir Fyodorovich 40 yd punt return. (Alex Frost kick),7,21
6,2,TD,2:54,None Sunnycursed 19 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),7,28
7,2,FG,0:00,57 yd FG by Alex Dasistwirklichseinnachname,7,31
9,3,TD,8:20,Bona'beri Jones 2 yd pass from Stan Francisco. (Alex Frost kick),14,31
10,3,TD,4:40,David Ginsberg 48 yd interception return. (Alex Dasistwirklichseinnachname kick),14,38
12,4,TD,12:17,Tyler Swift 12 yd run. (Alex Frost kick),21,38
13,4,FG,9:25,39 yd FG by Alex Dasistwirklichseinnachname,21,41
14,4,TD,4:35,Vinny Valentine 8 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),21,48
