,Q,Score Type,Time Remaining,Play,SJS,AZ
1,1,FG,8:35,35 yd FG by Spencer Lawes,0,3
2,1,TD,3:40,Seer Zephyrous 20 yd run. (Spencer Lawes kick),0,10
4,2,TD,11:23,Slim Shady 6 yd run. (Spencer Lawes kick),0,17
5,2,TD,8:54,Martavius Mack 42 yd interception return. (Spencer Lawes kick),0,24
6,2,TD,6:16,Ty Justice 38 yd pass from Joliet L. Christ. (Neo Donaldson kick),7,24
7,2,FG,3:23,38 yd FG by Spencer Lawes,7,27
9,3,TD,12:35,Chris Orosz 4 yd run. (Neo Donaldson kick),14,27
10,3,TD,9:35,Steven Moore 4 yd pass from Andrew Reese. (Spencer Lawes kick),14,34
12,4,TD,8:45,Slim Shady 1 yd run. (Spencer Lawes kick),14,41
13,4,TD,3:55,Cameron Olsen 2 yd pass from Joliet L. Christ. (Neo Donaldson kick),21,41
