,Q,Score Type,Time Remaining,Play,PHI,CHI
1,1,TD,13:15,Lightsout Lewis (R) 15 yd interception return. (Kulture Fulture kick),0,7
2,1,TD,8:28,Jordan von Matt 25 yd pass from Adriana Falconi. (Kyle Frost kick),7,7
3,1,FG,4:41,46 yd FG by Kyle Frost,10,7
5,2,FG,14:16,36 yd FG by Kyle Frost,13,7
6,2,FG,8:55,39 yd FG by Kulture Fulture,13,10
7,2,FG,5:39,27 yd FG by Kyle Frost,16,10
8,2,TD,3:04,Declan Harp 36 yd pass from Rose Jenkins (R). (Kulture Fulture kick),16,17
9,2,FG,0:27,35 yd FG by Kulture Fulture,16,20
11,3,TD,9:16,Farley Hank 4 yd run. (Kyle Frost kick),23,20
12,3,TD,2:59,Zapp Brannigan 27 yd pass from Adriana Falconi. (Kyle Frost kick),30,20
13,3,TD,2:12,Farley Hank 1 yd run. (Kyle Frost kick),37,20
15,4,TD,13:20,Kazimir Oles 2 yd pass from Rose Jenkins (R). (Kulture Fulture kick),37,27
16,4,FG,10:22,34 yd FG by Kyle Frost,40,27
17,4,TD,4:58,Ricky Adams 11 yd pass from Rose Jenkins (R). (Kulture Fulture kick),40,34
18,4,TD,0:07,Farley Hank 3 yd run. (Kyle Frost kick),47,34
