Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Walentine, M.",OCO,2,10,1,0
"Gott, J.",OCO,1,15,0,0
"Hobbs, S.",OCO,1,10,0,0
"Rice, J.",OCO,1,5,0,0
"Salami, T.",OCO,1,15,0,0
"Thompson, P.",OCO,0,0,7,0
"Johns, A.",OCO,0,0,6,1
"Stennet, J.",OCO,0,0,4,0
"Reed, A.",OCO,0,0,3,2
"Pitcher, A.",OCO,0,0,3,0
"Harrison, H.",OCO,0,0,2,0
"Blaze, J.",OCO,0,0,1,0
"Mughes, H.",AZ,2,18,0,0
"Aste, W.",AZ,1,5,5,0
"Shady, S.",AZ,1,15,3,0
"Murphy, J.",AZ,1,2,1,0
"Knight, L.",AZ,1,5,0,0
"Mack, M.",AZ,1,5,0,0
"Rash, T.",AZ,0,0,5,0
"Ebris, D.",AZ,0,0,4,0
"Irving, J.",AZ,0,0,4,0
"Unk, J.",AZ,0,0,3,0
"Arbage, G.",AZ,0,0,2,0
"Moore, S.",AZ,0,0,2,0
