,Q,Score Type,Time Remaining,Play,COL,YKW
1,1,TD,8:37,Terry Taffy 4 yd run. (Joshua Jones II (R) kick),7,0
2,1,TD,8:19,Johnny Snuggles 93 yd kickoff return. (Kicky Bobby (R) XP no good),7,6
3,1,FG,0:45,33 yd FG by Joshua Jones II (R),10,6
5,2,TD,13:38,Jerrod Canton 9 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),10,13
6,2,TD,5:59,Jerrod Canton 4 yd run. (Kicky Bobby (R) kick),10,20
7,2,TD,1:19,Nate Swift 14 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),10,27
9,3,TD,12:41,Logan Lejune 67 yd punt return. (Joshua Jones II (R) kick),17,27
10,3,TD,8:05,Jerrod Canton 35 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),17,34
11,3,TD,3:51,Danny Grithead 52 yd interception return. (Kicky Bobby (R) XP no good),17,40
12,3,TD,3:27,Danny Grithead 39 yd interception return. (Kicky Bobby (R) kick),17,47
14,4,FG,5:02,38 yd FG by Joshua Jones II (R),20,47
15,4,FG,2:05,20 yd FG by Kicky Bobby (R),20,50
