,Q,Score Type,Time Remaining,Play,AUS,AZ
1,1,TD,8:27,Seer Zephyrous 4 yd pass from Andrew Reese. (Spencer Lawes kick),0,7
2,1,TD,7:56,Leighton Lee 17 yd interception return. (Spencer Lawes XP no good),0,13
3,1,FG,1:09,28 yd FG by Spencer Lawes,0,16
5,2,TD,7:03,Mako Mendonca 3 yd run. (Alfredo Crisco kick),7,16
6,2,FG,0:29,47 yd FG by Alfredo Crisco,10,16
8,3,TD,13:18,Slim Shady 1 yd run. (Spencer Lawes kick),10,23
9,3,FG,4:40,32 yd FG by Spencer Lawes,10,26
11,4,TD,14:12,Brock Landers 7 yd pass from Andrew Reese. (Spencer Lawes kick),10,33
12,4,FG,10:42,34 yd FG by Alfredo Crisco,13,33
13,4,TD,3:23,Mako Mendonca 9 yd pass from Easton Cole. (Alfredo Crisco kick),20,33
