,Q,Score Type,Time Remaining,Play,OCO,AZ
1,1,TD,9:44,Dan Schneider 74 yd punt return. (Alex Dasistwirklichseinnachname kick),7,0
2,1,FG,5:52,32 yd FG by Alex Dasistwirklichseinnachname,10,0
3,1,TD,2:46,Corey Trevor 2 yd run. (Alex Dasistwirklichseinnachname kick),17,0
5,2,TD,12:19,Brock Landers 34 yd pass from Andrew Reese. (Spencer Lawes kick),17,7
6,2,FG,8:35,25 yd FG by Spencer Lawes,17,10
7,2,TD,1:04,Franklin Armstrong (R) 8 yd run. (Alex Dasistwirklichseinnachname kick),24,10
8,2,FG,0:11,51 yd FG by Spencer Lawes,24,13
10,3,TD,9:04,Apollo Reed 1 yd run. (Alex Dasistwirklichseinnachname kick),31,13
11,3,TD,3:19,Jammerson Irving 12 yd pass from Andrew Reese. (Spencer Lawes kick),31,20
13,4,TD,11:49,Yulic Nagasawa 7 yd pass from Franklin Armstrong (R). (Alex Dasistwirklichseinnachname XP no good),37,20
