,Q,Score Type,Time Remaining,Play,CHI,YKW
1,1,FG,9:18,33 yd FG by Kulture Fulture,3,0
2,1,FG,0:16,27 yd FG by Kulture Fulture,6,0
4,2,TD,11:50,Tommy Helanen 7 yd pass from Cooter Bigsby. (Neo Donaldson kick),6,7
5,2,FG,0:09,54 yd FG by Neo Donaldson,6,10
7,3,FG,12:09,25 yd FG by Kulture Fulture,9,10
8,3,TD,7:13,Morgan Marshall 1 yd run. (Neo Donaldson kick),9,17
10,4,FG,13:22,19 yd FG by Neo Donaldson,9,20
11,4,FG,8:40,40 yd FG by Neo Donaldson,9,23
12,4,FG,5:04,20 yd FG by Neo Donaldson,9,26
13,4,TD,0:05,Josh Parker 43 yd pass from Rose Jenkins. (Kulture Fulture kick),16,26
