,Q,Score Type,Time Remaining,Play,COL,BAL
1,1,FG,1:51,23 yd FG by ForThe Brand,0,3
3,2,TD,3:56,Earl Sauce (R) 6 yd pass from Corvo Havran. (ForThe Brand kick),0,10
4,2,FG,1:21,35 yd FG by ForThe Brand,0,13
5,2,FG,0:03,43 yd FG by ForThe Brand,0,16
7,3,TD,12:07,Ludicolo Bigby 2 yd run. (ForThe Brand kick),0,23
8,3,TD,7:27,Michael Vincent 1 yd run. (Stephen Harris Jr kick),7,23
9,3,TD,7:08,Walt Green 98 yd kickoff return. (ForThe Brand XP no good),7,29
11,4,FG,15:00,46 yd FG by ForThe Brand,7,32
12,4,FG,12:11,32 yd FG by Stephen Harris Jr,10,32
13,4,TD,11:33,Ashley Owens 1 yd run. (Stephen Harris Jr kick),17,32
14,4,TD,8:23,Errol Maddox 4 yd pass from Corvo Havran. (ForThe Brand kick),17,39
