,Q,Score Type,Time Remaining,Play,BAL,YKW
1,1,TD,6:04,Nate Swift 23 yd pass from Cooter Bigsby. (Neo Donaldson kick),0,7
2,1,TD,3:16,Earl Sauce (R) 26 yd pass from Corvo Havran. (ForThe Brand kick),7,7
4,2,FG,14:08,32 yd FG by Neo Donaldson,7,10
5,2,TD,12:09,Ludicolo Bigby 5 yd run. (ForThe Brand kick),14,10
6,2,TD,5:51,Tommy Helanen 7 yd pass from Cooter Bigsby. (Neo Donaldson kick),14,17
7,2,TD,1:05,Mathias Hanyadi (R) 4 yd run. (Neo Donaldson kick),14,24
9,3,TD,9:23,Cooter Bigsby 5 yd run. (Neo Donaldson kick),14,31
10,3,TD,1:13,Orien Drake (R) 2 yd run. (Neo Donaldson kick),14,38
12,4,TD,10:25,Orien Drake (R) 4 yd run. (Neo Donaldson kick),14,45
13,4,TD,3:56,Tommy Helanen 1 yd pass from Cooter Bigsby. (Neo Donaldson kick),14,52
14,4,FG,0:04,42 yd FG by Neo Donaldson,14,55
