,Q,Score Type,Time Remaining,Play,OCO,YKW
1,1,FG,5:56,44 yd FG by Neo Donaldson,0,3
3,2,TD,10:09,None Sunnycursed 24 yd pass from Cooter Bigsby. (Neo Donaldson kick),0,10
4,2,FG,3:44,28 yd FG by Alex Dasistwirklichseinnachname,3,10
6,3,TD,6:40,Franklin Armstrong 13 yd run. (Alex Dasistwirklichseinnachname kick),10,10
7,3,TD,1:35,Hugh Mongo 7 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),17,10
8,3,FG,0:00,26 yd FG by Alex Dasistwirklichseinnachname,20,10
10,4,TD,14:02,Mathias Hanyadi (R) 4 yd run. (Neo Donaldson kick),20,17
11,4,FG,10:07,22 yd FG by Alex Dasistwirklichseinnachname,23,17
12,4,FG,7:33,35 yd FG by Neo Donaldson,23,20
13,4,TD,4:40,Orien Drake (R) 2 yd run. (Neo Donaldson kick),23,27
14,4,TD,2:22,Hugh Mongo 27 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),30,27
