,Q,Score Type,Time Remaining,Play,BAL,ARI
1,1,TD,6:34,Charles Arthur Chess 25 yd pass from King Bronko. (Cristiano Ronaldo kick),0,7
3,2,FG,10:33,18 yd FG by Cristiano Ronaldo,0,10
4,2,SF,9:35,Scrub Kyubee tackled for a safety.,0,12
5,2,FG,7:37,33 yd FG by Cristiano Ronaldo,0,15
6,2,FG,2:22,35 yd FG by Cristiano Ronaldo,0,18
8,3,TD,11:01,Reg Mackworthy 3 yd run. (Cristiano Ronaldo kick),0,25
9,3,FG,5:48,36 yd FG by Cristiano Ronaldo,0,28
10,3,FG,1:31,45 yd FG by Turk Turkleton,3,28
12,4,FG,14:49,34 yd FG by Cristiano Ronaldo,3,31
13,4,SF,10:32,Scrub Kyubee tackled for a safety.,3,33
14,4,FG,4:15,27 yd FG by Turk Turkleton,6,33
