,Q,Score Type,Time Remaining,Play,BAL,COL
1,1,FG,0:38,22 yd FG by Jordan Jackson (R),0,3
3,2,FG,11:39,19 yd FG by ForThe Brand,3,3
4,2,TD,2:51,Errol Maddox 6 yd pass from Corvo Havran. (ForThe Brand kick),10,3
5,2,TD,0:13,James Bishop 25 yd pass from Wolfie McDummy. (Jordan Jackson (R) kick),10,10
7,3,FG,10:13,21 yd FG by ForThe Brand,13,10
8,3,TD,9:58,James Bishop 105 yd kickoff return. (Jordan Jackson (R) kick),13,17
9,3,FG,7:31,45 yd FG by ForThe Brand,16,17
10,3,FG,2:27,29 yd FG by ForThe Brand,19,17
11,3,TD,0:52,Laszlo Forty-Two 26 yd pass from Wolfie McDummy. (Jordan Jackson (R) kick),19,24
12,3,SF,0:16,Corvo Havran tackled for a safety.,19,26
14,4,FG,11:48,29 yd FG by Jordan Jackson (R),19,29
15,4,TD,3:33,Apollo Reed 2 yd pass from Corvo Havran. (ForThe Brand kick),26,29
