,Q,Score Type,Time Remaining,Play,AZ,AUS
1,1,FG,11:01,46 yd FG by Diego Espinosa (R),3,0
2,1,FG,8:07,39 yd FG by Alfredo Crisco,3,3
3,1,TD,5:10,Jammerson Irving 29 yd pass from Jay Cue (R). (Diego Espinosa (R) kick),10,3
5,2,FG,15:00,46 yd FG by Diego Espinosa (R),13,3
6,2,TD,11:45,Xerxes Ridley 81 yd interception return. (Alfredo Crisco kick),13,10
7,2,TD,5:26,Jacoby Clay (R) 5 yd pass from Easton Cole. (Alfredo Crisco kick),13,17
9,3,TD,10:34,Easton Cole 2 yd run. (Alfredo Crisco kick),13,24
10,3,FG,7:54,30 yd FG by Diego Espinosa (R),16,24
11,3,FG,1:46,37 yd FG by Alfredo Crisco,16,27
13,4,FG,7:06,44 yd FG by Alfredo Crisco,16,30
14,4,TD,2:13,Willie B. Hardagain (R) 16 yd pass from Jay Cue (R). (Diego Espinosa (R) kick),23,30
