,Q,Score Type,Time Remaining,Play,AUS,YKW
1,1,TD,8:37,Jacoby Clay (R) 4 yd pass from Easton Cole. (Alfredo Crisco kick),7,0
2,1,TD,0:00,Rod Tidwell 15 yd pass from Easton Cole. (Alfredo Crisco kick),14,0
4,2,FG,8:16,19 yd FG by Neo Donaldson,14,3
5,2,TD,3:08,Rod Tidwell 23 yd pass from Easton Cole. (Alfredo Crisco kick),21,3
7,3,FG,11:38,26 yd FG by Alfredo Crisco,24,3
8,3,FG,8:16,43 yd FG by Neo Donaldson,24,6
9,3,TD,2:31,Nate Swift 7 yd pass from Cooter Bigsby. (Neo Donaldson kick),24,13
11,4,FG,14:54,28 yd FG by Alfredo Crisco,27,13
12,4,FG,9:14,25 yd FG by Alfredo Crisco,30,13
13,4,TD,5:18,Net Gaines 3 yd pass from Easton Cole. (Alfredo Crisco kick),37,13
14,4,TD,1:20,Mathias Hanyadi 4 yd run. (Neo Donaldson kick),37,20
