,Q,Score Type,Time Remaining,Play,CHI,BAL
1,1,FG,7:10,30 yd FG by Diego Espinosa,3,0
3,2,FG,13:11,52 yd FG by Diego Espinosa,6,0
4,2,FG,7:33,18 yd FG by Kulture Fulture,6,3
5,2,FG,2:00,30 yd FG by Kulture Fulture,6,6
7,3,TD,11:08,Errol Maddox 32 yd pass from Corvo Havran. (Kulture Fulture XP no good),6,12
8,3,TD,5:57,Darrel Williams 5 yd run. (Kulture Fulture kick),6,19
10,4,FG,13:04,23 yd FG by Diego Espinosa,9,19
11,4,TD,10:09,Apollo Reed 33 yd pass from Corvo Havran. (Kulture Fulture kick),9,26
12,4,TD,7:01,Darrel Williams 1 yd pass from Corvo Havran. (Kulture Fulture kick),9,33
13,4,FG,3:20,29 yd FG by Kulture Fulture,9,36
14,4,TD,0:15,Ryan Leaf Jr. 12 yd pass from Rose Jenkins. (Diego Espinosa kick),16,36
