,Q,Score Type,Time Remaining,Play,NO,AUS
1,1,TD,8:17,Forrest Gump 12 yd pass from Stan Francisco. (Herbert Prohaska kick),7,0
2,1,TD,3:50,Mako Mendonca 1 yd run. (Alfredo Crisco kick),7,7
3,1,TD,0:00,Ed Barker (R) 31 yd pass from Stan Francisco. (Herbert Prohaska kick),14,7
5,2,FG,10:44,39 yd FG by Alfredo Crisco,14,10
6,2,TD,6:04,Forrest Gump 2 yd run. (Herbert Prohaska kick),21,10
7,2,TD,1:31,Mako Mendonca 2 yd pass from Easton Cole. (Alfredo Crisco kick),21,17
9,3,TD,12:14,Ryan Leaf Jr. 1 yd run. (Alfredo Crisco kick),21,24
10,3,FG,1:06,34 yd FG by Herbert Prohaska,24,24
12,4,FG,12:01,37 yd FG by Herbert Prohaska,27,24
13,4,FG,8:55,38 yd FG by Alfredo Crisco,27,27
14,4,TD,4:13,Ryan Leaf Jr. 6 yd run. (Alfredo Crisco kick),27,34
