,Q,Score Type,Time Remaining,Play,AUS,OCO
1,1,FG,10:33,27 yd FG by Alfredo Crisco,3,0
2,1,TD,2:02,Tatsu Nakamura 4 yd run. (Alex Dasistwirklichseinnachname XP no good),3,6
4,2,TD,13:59,Net Gaines 20 yd pass from Easton Cole. (Alfredo Crisco kick),10,6
5,2,TD,6:42,Mako Mendonca 3 yd pass from Easton Cole. (Alfredo Crisco kick),17,6
6,2,TD,6:25,Lord Beerus 108 yd kickoff return. (Alex Dasistwirklichseinnachname kick),17,13
7,2,FG,0:17,19 yd FG by Alex Dasistwirklichseinnachname,17,16
9,3,FG,2:02,18 yd FG by Alex Dasistwirklichseinnachname,17,19
11,4,TD,14:13,Honda Edmond 27 yd interception return. (Alfredo Crisco kick),24,19
12,4,FG,7:19,57 yd FG by Alex Dasistwirklichseinnachname,24,22
13,4,TD,3:05,Kichwa Jones 1 yd run. (Alfredo Crisco kick),31,22
