,Q,Score Type,Time Remaining,Play,YKW,OCO
1,1,TD,12:16,DJ Law 32 yd pass from Mat Akselsen. (Joseph Lombardi kick),7,0
2,1,TD,6:12,Bradley Westfield 44 yd pass from Mike Boss. (Bradley Madlad kick),7,7
3,1,FG,5:37,28 yd FG by Bradley Madlad,7,10
4,1,TD,0:15,Bradley Westfield 35 yd pass from Mike Boss. (Bradley Madlad kick),7,17
6,2,FG,12:14,46 yd FG by Joseph Lombardi,10,17
7,2,FG,8:07,44 yd FG by Bradley Madlad,10,20
9,3,FG,11:55,37 yd FG by Joseph Lombardi,13,20
10,3,TD,9:23,Robert Phelps 22 yd pass from Mike Boss. (Bradley Madlad kick),13,27
11,3,FG,5:04,30 yd FG by Bradley Madlad,13,30
12,3,TD,1:29,Bubba Nuck 4 yd run. (Joseph Lombardi kick),20,30
14,4,FG,8:14,41 yd FG by Joseph Lombardi,23,30
