,Q,Score Type,Time Remaining,Play,AZ,OCO
1,1,TD,14:42,Alex Hayden 101 yd kickoff return. (Dean Jackson kick),7,0
2,1,TD,12:06,Robert Phelps 18 yd pass from Mike Boss. (Bradley Madlad XP no good),7,6
3,1,TD,4:22,Bradley Westfield 36 yd pass from Mike Boss. (Bradley Madlad kick),7,13
5,2,TD,8:57,Jordan Yates 4 yd pass from Mike Boss. (Bradley Madlad kick),7,20
6,2,TD,7:41,Bradley Westfield 72 yd punt return. (Bradley Madlad kick),7,27
7,2,FG,2:14,38 yd FG by Bradley Madlad,7,30
8,2,FG,0:24,35 yd FG by Dean Jackson,10,30
10,3,TD,9:38,Reg Mackworthy 1 yd run. (Dean Jackson XP no good),16,30
11,3,TD,5:09,Dominic Verns 39 yd interception return. (Bradley Madlad kick),16,37
13,4,FG,15:00,38 yd FG by Bradley Madlad,16,40
14,4,FG,10:40,45 yd FG by Dean Jackson,19,40
15,4,FG,1:42,42 yd FG by Bradley Madlad,19,43
