,Q,Score Type,Time Remaining,Play,SJS,OCO
1,1,TD,8:49,Erlich Burnsman 5 yd run. (Bradley Madlad kick),0,7
2,1,FG,4:01,22 yd FG by Bradley Madlad,0,10
4,2,FG,11:39,36 yd FG by Iyah Blewitt,3,10
5,2,TD,10:10,Shane Weston 20 yd pass from Chris Orosz. (Iyah Blewitt XP no good),9,10
6,2,FG,8:04,32 yd FG by Bradley Madlad,9,13
7,2,TD,6:12,Mike Boss 1 yd run. (Bradley Madlad kick),9,20
8,2,FG,0:24,38 yd FG by Iyah Blewitt,12,20
10,3,TD,8:39,Shane Weston 11 yd pass from Chris Orosz. (Iyah Blewitt kick),19,20
11,3,TD,3:15,Robert Phelps 17 yd pass from Mike Boss. (Bradley Madlad kick),19,27
12,3,FG,0:49,51 yd FG by Iyah Blewitt,22,27
14,4,SF,7:25,Chris Orosz tackled for a safety.,22,29
15,4,TD,3:21,Darren Smallwood 7 yd pass from Chris Orosz. (Iyah Blewitt kick),29,29
16,4,FG,0:34,34 yd FG by Bradley Madlad,29,32
