,Q,Score Type,Time Remaining,Play,OCO,NO
1,1,TD,8:32,Charlie Law 11 yd pass from Borkus Maximus III. (Iyah Blewitt kick),0,7
2,1,SF,2:35,Mike Boss tackled for a safety.,0,9
4,2,TD,7:50,Mayran Jackson 16 yd pass from Borkus Maximus III. (Iyah Blewitt kick),0,16
5,2,TD,5:08,Bradley Westfield 23 yd pass from Mike Boss. (Bradley Madlad kick),7,16
6,2,TD,0:20,Darren Smallwood 1 yd run. (Iyah Blewitt kick),7,23
8,3,TD,11:45,Carlito Crush 1 yd pass from Mike Boss. (Bradley Madlad kick),14,23
9,3,TD,8:26,Dustin Evans 14 yd pass from Borkus Maximus III. (Iyah Blewitt XP no good),14,29
10,3,TD,1:56,Paul DiMirio 12 yd pass from Borkus Maximus III. (Iyah Blewitt kick),14,36
12,4,FG,11:02,20 yd FG by Iyah Blewitt,14,39
13,4,TD,6:41,Jordan Yates 2 yd run. (Bradley Madlad kick),21,39
