,Q,Score Type,Time Remaining,Play,BAL,NO
1,1,TD,9:35,Budda Browning 18 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,0
2,1,SF,6:04,Avon Blocksdale tackled for a safety.,7,2
4,2,TD,11:25,Owen Taylor 3 yd run. (Turk Turkleton kick),14,2
5,2,TD,8:20,Darren Smallwood 8 yd run. (Iyah Blewitt kick),14,9
6,2,TD,2:33,Mayran Jackson 9 yd pass from Borkus Maximus III. (Iyah Blewitt kick),14,16
7,2,FG,0:07,42 yd FG by Iyah Blewitt,14,19
9,3,FG,8:19,25 yd FG by Turk Turkleton,17,19
10,3,TD,2:56,Owen Taylor 8 yd run. (Turk Turkleton kick),24,19
12,4,TD,12:31,Darren Smallwood 1 yd run. (2pt conversion good),24,27
13,4,TD,5:48,Dustin Evans 10 yd pass from Borkus Maximus III. (Iyah Blewitt kick),24,34
14,4,FG,3:26,25 yd FG by Iyah Blewitt,24,37
