,teamID,Q,time,totTime,down,distance,side,yard,play,gameID,S,W,teamPoss,dist2goal,awayTeam,homeTeam,awayScore,homeScore
0,2,1,15:00,3600,,,YKW,30,"Harris Jr, S. kicks off.",3869,16,1,YKW,70,BAL,YKW,0,0
1,1,1,15:00,3600,,,,,The kick sails into the endzone.,3869,16,1,BAL,,BAL,YKW,0,0
2,1,1,15:00,3600,,,,,"Hornbacher, A. takes it out of the endzone!",3869,16,1,BAL,,BAL,YKW,0,0
3,1,1,15:00,3600,,,,,"Hornbacher, A. takes it down the right side.",3869,16,1,BAL,,BAL,YKW,0,0
4,1,1,15:00,3600,,,,,"Hornbacher, A. cuts across the field.",3869,16,1,BAL,,BAL,YKW,0,0
5,1,1,15:00,3600,,,,,A 42 yard return.,3869,16,1,BAL,,BAL,YKW,0,0
6,1,1,14:51,3591,1,10,BAL,42,"Rush by Brown, M. for a short gain. Tackle by Skinner, Z..",3869,16,1,BAL,58,BAL,YKW,0,0
7,1,1,14:35,3575,2,10,BAL,42,"Pass by Havran (R), C. to Maddox, E. was dropped! Incomplete.",3869,16,1,BAL,58,BAL,YKW,0,0
8,1,1,14:28,3568,3,10,BAL,42,"Pass by Havran (R), C., complete to Brown, M. for 25 yds. Tackle by Taylor, C..",3869,16,1,BAL,58,BAL,YKW,0,0
9,1,1,13:26,3506,1,10,YKW,32,"Rush by Brown, M. for 3 yds. Tackle by Alexander, N..",3869,16,1,BAL,32,BAL,YKW,0,0
10,1,1,13:09,3489,2,7,YKW,29,"Pass by Havran (R), C. to Nagasawa, Y. is incomplete. Broken up by Storm (R), J..",3869,16,1,BAL,29,BAL,YKW,0,0
11,1,1,13:02,3482,3,7,YKW,29,"Pass by Havran (R), C., complete to Maddox, E. for 14 yds. Tackle by Snuggles, J..",3869,16,1,BAL,29,BAL,YKW,0,0
12,1,1,12:30,3450,1,10,YKW,15,"Rush by Brown, M. for 4 yds. Tackle by Taylor, C..",3869,16,1,BAL,15,BAL,YKW,0,0
13,1,1,12:01,3421,2,6,YKW,11,"Pass by Havran (R), C. to Bigby (R), L. falls incomplete.",3869,16,1,BAL,11,BAL,YKW,0,0
14,1,1,11:55,3415,3,6,YKW,11,"Pass by Havran (R), C., complete to L'Alto, V. for 8 yds. Tackle by Selich, A..",3869,16,1,BAL,11,BAL,YKW,0,0
15,1,1,11:14,3374,1,3,YKW,3,Rush by Dorfus Jimbo (R) for 3 yds.,3869,16,1,BAL,3,BAL,YKW,0,0
16,1,1,11:03,3363,,,,,TOUCHDOWN! (Brand (R) kick good),3869,16,1,BAL,,BAL,YKW,7,0
17,2,1,11:03,3363,,,,,"Kickoff by Brand (R), F. deep into the endzone. Grithead, D. kneels for a touchback.",3869,16,1,YKW,,BAL,YKW,7,0
18,2,1,11:03,3363,1,10,YKW,20,"Rush by Bigsby, C. for 20 yds. Tackle by Troyski, X..",3869,16,1,YKW,80,BAL,YKW,7,0
19,2,1,10:22,3322,1,10,YKW,40,"Rush by Marshall, M. for 2 yds. Tackle by Acho (R), M..",3869,16,1,YKW,60,BAL,YKW,7,0
20,2,1,10:01,3301,2,8,YKW,42,"Pass by Bigsby, C., complete to Marshall, M. for 14 yds. Tackle by Troyski, X..",3869,16,1,YKW,58,BAL,YKW,7,0
21,2,1,9:08,3248,1,10,BAL,44,"Rush by Canton, J. for a short gain. Tackle by Hobbs, J..",3869,16,1,YKW,44,BAL,YKW,7,0
22,2,1,8:52,3232,2,10,BAL,44,"Pass by Bigsby, C. to Swift, N. falls incomplete.",3869,16,1,YKW,44,BAL,YKW,7,0
23,2,1,8:49,3229,3,10,BAL,44,"Pass by Bigsby, C., to Canton, J.. INTERCEPTION by Troyski, X. at the BAL - 37 yard line and returned for 46 yards.",3869,16,1,YKW,44,BAL,YKW,7,0
24,1,1,8:30,3210,1,10,YKW,17,"Rush by Brown, M. for 7 yds. Tackle by Uchiha, L..",3869,16,1,BAL,17,BAL,YKW,7,0
25,1,1,8:01,3181,2,3,YKW,10,"Pass by Havran (R), C. to Brown, M. was dropped! Incomplete.",3869,16,1,BAL,10,BAL,YKW,7,0
26,1,1,7:57,3177,3,3,YKW,10,"Pass by Havran (R), C., complete to Maddox, E. for 10 yds.",3869,16,1,BAL,10,BAL,YKW,7,0
27,1,1,7:36,3156,,,,,TOUCHDOWN! (Brand (R) kick good),3869,16,1,BAL,,BAL,YKW,14,0
28,1,1,7:36,3156,,,BAL,30,"Brand (R), F. kicks off.",3869,16,1,BAL,70,BAL,YKW,14,0
29,2,1,7:36,3156,,,,,"Grithead, D. takes it down the right side.",3869,16,1,YKW,,BAL,YKW,14,0
30,2,1,7:36,3156,,,,,"Grithead, D. cuts across the field.",3869,16,1,YKW,,BAL,YKW,14,0
31,2,1,7:36,3156,,,,,A 44 yard return.,3869,16,1,YKW,,BAL,YKW,14,0
32,2,1,7:27,3147,1,10,YKW,47,"Bigsby, C. SACKED by Ben Horne - LB for -6 yds.",3869,16,1,YKW,53,BAL,YKW,14,0
33,2,1,7:00,3120,2,16,YKW,41,"Bigsby, C. throws the ball away to avoid the sack.",3869,16,1,YKW,59,BAL,YKW,14,0
34,2,1,6:34,3094,3,16,YKW,41,"Pass by Bigsby, C. to Canton, J. falls incomplete.",3869,16,1,YKW,59,BAL,YKW,14,0
35,1,1,6:29,3089,4,16,YKW,41,"Punt by Harris Jr, S. of 31 yards.",3869,16,1,YKW,59,BAL,YKW,14,0
36,1,1,6:29,3089,,,,,"Returned by Hornbacher, A. for -2 yards.",3869,16,1,BAL,,BAL,YKW,14,0
37,1,1,6:14,3074,1,10,BAL,26,"Rush by Brown, M. for 0 yds. Tackle by Alexander, N..",3869,16,1,BAL,74,BAL,YKW,14,0
38,1,1,5:58,3058,2,10,BAL,26,"Havran (R), C. SACKED by Ryan Leaf Jr. (R) - DT for -6 yds.",3869,16,1,BAL,74,BAL,YKW,14,0
39,1,1,5:32,3032,3,16,BAL,20,"Havran (R), C. SACKED by Danny Grithead - FS for -6 yds.",3869,16,1,BAL,80,BAL,YKW,14,0
40,2,1,5:09,3009,4,22,BAL,14,"Punt by Brand (R), F. of 59 yards.",3869,16,1,BAL,86,BAL,YKW,14,0
41,2,1,5:09,3009,,,,,"Returned by Snuggles, J. for 6 yards.",3869,16,1,YKW,,BAL,YKW,14,0
42,2,1,4:57,2997,1,10,YKW,33,"Rush by Marshall, M. for a short gain. Tackle by Acho (R), M..",3869,16,1,YKW,67,BAL,YKW,14,0
43,2,1,4:41,2981,2,10,YKW,33,"Pass by Bigsby, C., complete to Parker, J. for 7 yds. Tackle by Green, W..",3869,16,1,YKW,67,BAL,YKW,14,0
44,2,1,4:07,2947,3,3,YKW,40,"Rush by Bigsby, C. for 11 yds. Tackle by Asipi III, A..",3869,16,1,YKW,60,BAL,YKW,14,0
45,2,1,3:36,2916,1,10,BAL,49,"Pass by Bigsby, C., complete to Helanen, T. for 10 yds. Tackle by Asipi III, A..",3869,16,1,YKW,49,BAL,YKW,14,0
46,2,1,2:32,2852,1,10,BAL,39,"Rush by Marshall, M. for 3 yds. Tackle by Asipi III, A..",3869,16,1,YKW,39,BAL,YKW,14,0
47,2,1,2:04,2824,2,7,BAL,36,"Pass by Bigsby, C., complete to Marshall, M. for 11 yds. Tackle by Terim, F..",3869,16,1,YKW,36,BAL,YKW,14,0
48,2,1,1:33,2793,1,10,BAL,25,"Rush by Canton, J. for 11 yds. Tackle by Asipi III, A..",3869,16,1,YKW,25,BAL,YKW,14,0
49,2,1,1:07,2767,1,10,BAL,14,"Pass by Bigsby, C., complete to Pennington, B. for 14 yds.",3869,16,1,YKW,14,BAL,YKW,14,0
50,2,1,0:27,2727,,,,,TOUCHDOWN! (Harris Jr kick good),3869,16,1,YKW,,BAL,YKW,14,7
51,2,1,0:27,2727,,,YKW,30,"Harris Jr, S. kicks off.",3869,16,1,YKW,70,BAL,YKW,14,7
52,1,1,0:27,2727,,,,,"Maddox, E. takes it down the left side.",3869,16,1,BAL,,BAL,YKW,14,7
53,1,1,0:27,2727,,,,,"Maddox, E. is finally brought down. A 37 yard return.",3869,16,1,BAL,,BAL,YKW,14,7
54,1,1,0:19,2719,1,10,BAL,37,"Rush by Brown, M. for 1 yds. Tackle by Leaf Jr. (R), R..",3869,16,1,BAL,63,BAL,YKW,14,7
55,1,1,0:00,2700,2,9,BAL,38,"Pass by Havran (R), C., complete to Nagasawa, Y. for 37 yds. Tackle by Storm (R), J..",3869,16,1,BAL,62,BAL,YKW,14,7
56,1,2,15:00,2700,1,10,YKW,24,"Rush by Brown, M. for 5 yds. Tackle by Alexander, N..",3869,16,1,BAL,24,BAL,YKW,14,7
57,1,2,14:41,2681,2,5,YKW,19,"Pass by Havran (R), C., complete to Jimbo (R), D. for 6 yds. Tackle by Taylor, C..",3869,16,1,BAL,19,BAL,YKW,14,7
58,1,2,14:09,2649,1,10,YKW,13,"Pass by Havran (R), C. to Maddox, E. is incomplete. Broken up by Snuggles, J..",3869,16,1,BAL,13,BAL,YKW,14,7
59,1,2,14:05,2645,2,10,YKW,13,"Pass by Havran (R), C. to Nagasawa, Y. falls incomplete.",3869,16,1,BAL,13,BAL,YKW,14,7
60,1,2,13:59,2639,3,10,YKW,13,"Havran (R), C. SACKED by Alex Selich - LB for -6 yds.",3869,16,1,BAL,13,BAL,YKW,14,7
61,1,2,13:29,2609,4,16,YKW,19,"36 yard FG by Brand (R), F. is good.",3869,16,1,BAL,19,BAL,YKW,17,7
62,1,2,13:29,2609,,,BAL,30,"Brand (R), F. kicks off.",3869,16,1,BAL,70,BAL,YKW,17,7
63,2,2,13:29,2609,,,YKW,4,"Kickoff of 68 yards. Returned by Grithead, D. for 2 yards.",3869,16,1,YKW,96,BAL,YKW,17,7
64,2,2,13:26,2606,1,10,YKW,4,"Rush by Marshall, M. for 4 yds. Tackle by Roenick, A..",3869,16,1,YKW,96,BAL,YKW,17,7
65,2,2,13:05,2585,2,6,YKW,8,"Bigsby, C. throws the ball away to avoid the sack.",3869,16,1,YKW,92,BAL,YKW,17,7
66,2,2,12:48,2568,3,6,YKW,8,"Pass by Bigsby, C. to Helanen, T. is incomplete. Broken up by Acho (R), M..",3869,16,1,YKW,92,BAL,YKW,17,7
67,1,2,12:42,2562,4,6,YKW,8,"Punt by Harris Jr, S. of 38 yards.",3869,16,1,YKW,92,BAL,YKW,17,7
68,1,2,12:42,2562,,,,,"Returned by Hornbacher, A. for 5 yards.",3869,16,1,BAL,,BAL,YKW,17,7
69,1,2,12:29,2549,1,10,YKW,41,"Pass by Havran (R), C., complete to Maddox, E. for 40 yds. Tackle by Snuggles, J..",3869,16,1,BAL,41,BAL,YKW,17,7
70,1,2,11:22,2482,1,1,YKW,1,Rush by Marquise Brown for 1 yds.,3869,16,1,BAL,1,BAL,YKW,17,7
71,1,2,11:15,2475,,,,,TOUCHDOWN! (Brand (R) kick good),3869,16,1,BAL,,BAL,YKW,24,7
72,1,2,11:15,2475,,,BAL,30,"Brand (R), F. kicks off.",3869,16,1,BAL,70,BAL,YKW,24,7
73,2,2,11:15,2475,,,,,The kick sails into the endzone.,3869,16,1,YKW,,BAL,YKW,24,7
74,2,2,11:15,2475,,,,,"Grithead, D. takes it out of the endzone!",3869,16,1,YKW,,BAL,YKW,24,7
75,2,2,11:15,2475,,,,,"Grithead, D. takes it down the left side.",3869,16,1,YKW,,BAL,YKW,24,7
76,2,2,11:15,2475,,,,,"Grithead, D. cuts across the field.",3869,16,1,YKW,,BAL,YKW,24,7
77,2,2,11:15,2475,,,,,A 43 yard return.,3869,16,1,YKW,,BAL,YKW,24,7
78,2,2,11:08,2468,1,10,YKW,43,"Pass by Bigsby, C., complete to Marshall, M. for 1 yds. Tackle by Roenick, A..",3869,16,1,YKW,57,BAL,YKW,24,7
79,2,2,10:43,2443,2,9,YKW,44,"Pass by Bigsby, C., complete to Swift, N. for 4 yds. Tackle by Hornbacher, A..",3869,16,1,YKW,56,BAL,YKW,24,7
80,2,2,10:18,2418,3,5,YKW,48,"Pass by Bigsby, C. to Parker, J. was dropped! Incomplete.",3869,16,1,YKW,52,BAL,YKW,24,7
81,1,2,10:14,2414,4,5,YKW,48,"Punt by Harris Jr, S. of 51 yards. Touchback.",3869,16,1,YKW,52,BAL,YKW,24,7
82,1,2,10:10,2410,1,10,BAL,20,"Pass by Havran (R), C., complete to L'Alto, V. for 9 yds. Tackle by Grithead, D..",3869,16,1,BAL,80,BAL,YKW,24,7
83,1,2,9:32,2372,1,10,BAL,34,"Wraiths Penalty on Leaf Jr. (R), R.: Encroachment.",3869,16,1,BAL,66,BAL,YKW,24,7
84,1,2,9:32,2372,1,10,BAL,34,"Pass by Havran (R), C., complete to Maddox, E. for 7 yds. Tackle by Snuggles, J..",3869,16,1,BAL,66,BAL,YKW,24,7
85,1,2,8:58,2338,2,3,BAL,41,"Pass by Havran (R), C., complete to Bigby (R), L. for 4 yds. Tackle by Taylor, C..",3869,16,1,BAL,59,BAL,YKW,24,7
86,1,2,8:24,2304,1,10,BAL,45,"Pass by Havran (R), C. to Jimbo (R), D. was dropped! Incomplete.",3869,16,1,BAL,55,BAL,YKW,24,7
87,1,2,8:21,2301,2,10,BAL,45,"Havran (R), C. SACKED by Logan Uchiha - FS for -6 yds.",3869,16,1,BAL,55,BAL,YKW,24,7
88,1,2,7:49,2269,3,16,BAL,39,"Pass by Havran (R), C., complete to Brown, M. for 9 yds. Tackle by Grithead, D..",3869,16,1,BAL,61,BAL,YKW,24,7
89,2,2,7:16,2236,4,7,BAL,48,"Punt by Brand (R), F. is BLOCKED BY Schmecondary2, Z.. Returned for -3 yards.",3869,16,1,BAL,52,BAL,YKW,24,7
90,2,2,7:14,2234,1,10,YKW,47,"Rush by Marshall, M. for a short gain. Tackle by Clark, T..",3869,16,1,YKW,53,BAL,YKW,24,7
91,2,2,6:53,2213,2,10,YKW,47,"Rush by Canton, J. for 6 yds. Tackle by Asipi III, A..",3869,16,1,YKW,53,BAL,YKW,24,7
92,2,2,6:27,2187,3,4,BAL,47,"Rush by Canton, J. for 4 yds. Tackle by Acho (R), M..",3869,16,1,YKW,47,BAL,YKW,24,7
93,2,2,6:14,2174,1,10,BAL,43,"Rush by Canton, J. for 5 yds. Tackle by Terim, F..",3869,16,1,YKW,43,BAL,YKW,24,7
94,2,2,5:58,2158,2,10,BAL,43,"Wraiths Penalty on Mushing, M.: Delay of Game.",3869,16,1,YKW,43,BAL,YKW,24,7
95,2,2,5:58,2158,2,10,BAL,43,"Pass by Bigsby, C., complete to Helanen, T. for 11 yds. Tackle by Terim, F..",3869,16,1,YKW,43,BAL,YKW,24,7
96,2,2,5:20,2120,1,10,BAL,32,"Rush by Marshall, M. for 4 yds. Tackle by Horne, B..",3869,16,1,YKW,32,BAL,YKW,24,7
97,2,2,4:52,2092,2,6,BAL,28,"Pass by Bigsby, C., complete to Helanen, T. for 8 yds. Tackle by Troyski, X..",3869,16,1,YKW,28,BAL,YKW,24,7
