,play
"Christ, J.",20
"McDummy, W.",19
"Maximus III, B.",19
"Boss, M.",18
"Orosz, C.",15
"Bigsby, C.",14
"Cole, E.",14
"Applehort, R.",14
"Akselsen, M.",14
"Pierno, N.",14
"Francisco, S.",14
"Falconi, A.",13
"Jenkins, R.",13
"Showbiz, G.",13
"McCormick, M.",13
"Armstrong, F.",11
"Reese, A.",11
"Bronko, K.",11
"Cue, J.",10
"Fitzpatrick, K.",10
"Hunt, E.",10
"Kyubee, S.",10
"Havran, C.",10
"Pennington, B.",10
"Fujiwara, C.",10
"Wright, D.",9
"Bercovici, J.",9
"Blocksdale, A.",9
"Rove, C.",8
"Noble, L.",8
"Gambino, C.",8
"Banks II, D.",6
"Oles, T.",5
"Jack, C.",5
"Phoenix, B.",4
"O'Donnell, G.",4
"Howitzer, S.",4
"Skywalker, L.",4
"Jack, M.",4
"Stone, W.",3
"Draxel, V.",2
"Ramza, S.",2
"Slothlisberger, B.",2
"Kaepercolin, N.",2
"LaFleur, F.",1
"Jack, "".",1
"Holder, P.",1
