,teamID,ACC,AGI,ARM,Blk P/XP/FG,END,FF/FR,G,HND,INT,Int,KAc,KDi,L,Name,OVR,PA,PBl,PD,PF,Player,Pos,RBl,S,SPE,STR,Sck,Sfty,T,TCK,TD,TFL,Tck,Team,W,WPct
0,1,1,55,1,0/0/0,65,2/0,14,30,51,0,1,1,10,"Hendrix, K.",76,330,1,3,254,"Hendrix, K.",LB,1,1,80,74,0,0,0,77,0,5,144,BAL,4,0.28600000000000003
1,1,1,65,1,0/0/0,60,1/0,14,25,45,2,1,1,10,"Al Mahrouqi, K.",67,330,1,2,254,"Al Mahrouqi, K.",LB,1,1,60,70,1,0,0,70,1,2,57,BAL,4,0.28600000000000003
2,1,1,50,1,0/0/0,63,1/0,14,30,50,0,1,1,10,"Metas, B.",67,330,1,0,254,"Metas, B.",DT,1,1,71,71,11,1,0,57,0,2,55,BAL,4,0.28600000000000003
3,1,1,70,1,0/0/0,70,1/0,10,70,50,2,1,1,10,"McGinn, I.",70,330,1,2,254,"McGinn, I.",FS,1,1,70,50,0,0,0,56,0,0,44,BAL,4,0.28600000000000003
4,1,1,70,1,1/0/0,71,0/0,14,35,41,0,1,1,10,"Crocker, B.",70,330,1,0,254,"Crocker, B.",DE,1,1,70,62,5,0,0,55,0,15,32,BAL,4,0.28600000000000003
5,1,1,50,1,0/0/0,60,0/1,14,25,60,0,1,1,10,"Harrison, G.",61,330,1,0,254,"Harrison, G.",DT,1,1,50,70,4,1,0,50,0,2,26,BAL,4,0.28600000000000003
6,1,1,67,1,0/0/0,70,2/1,14,50,50,0,1,1,10,"Showcase, S.",64,330,1,3,254,"Showcase, S.",FS,1,1,67,50,0,0,0,65,0,0,20,BAL,4,0.28600000000000003
7,1,1,70,1,0/0/0,70,0/0,14,65,45,0,1,1,10,"Smith, M.",68,330,1,0,254,"Smith, M.",FS,1,1,75,40,0,0,0,50,0,0,18,BAL,4,0.28600000000000003
8,1,1,60,1,0/0/0,60,0/0,14,45,50,0,1,1,10,"Amir, A.",66,330,1,0,254,"Amir, A.",DE,1,1,70,60,2,0,0,50,0,4,10,BAL,4,0.28600000000000003
9,1,1,50,1,0/0/0,65,0/1,14,74,60,0,1,1,10,"Tenzini, G.",65,330,30,0,254,"Tenzini, G.",TE,30,1,65,43,0,0,0,25,0,0,0,BAL,4,0.28600000000000003
10,1,15,61,15,0/0/0,70,0/1,14,55,53,0,1,1,10,"Novel, L.",67,330,25,0,254,"Novel, L.",RB,25,1,72,66,0,0,0,20,0,0,0,BAL,4,0.28600000000000003
