,teamID,ACC,AGI,ARM,END,G,HND,INT,KAc,KDi,KR,KR Avg,KR Lg,KR TD,KR Yds,L,Name,OVR,PA,PBl,PF,PR,PR Avg,PR Lg,PR TD,PR Yds,Player,Pos,RBl,S,SPE,STR,T,TCK,Team,W,WPct
0,1,1,70,1,61,14,70,56,1,1,35,19.3,33,0,674,10,"West, D.",68,330,12,254,36,8.3,79,1,298,"West, D.",WR,12,1,80,30,0,20,BAL,4,0.28600000000000003
1,1,1,70,1,71,14,35,41,1,1,0,0.0,0,0,0,10,"Crocker, B.",70,330,1,254,1,10.0,10,0,10,"Crocker, B.",DE,1,1,70,62,0,55,BAL,4,0.28600000000000003
2,1,1,70,1,70,14,65,45,1,1,36,20.6,90,1,741,10,"Smith, M.",68,330,1,254,0,0.0,0,0,0,"Smith, M.",FS,1,1,75,40,0,50,BAL,4,0.28600000000000003
3,2,1,78,1,62,14,71,50,1,1,33,17.8,33,0,586,6,"LeClair, A.",70,225,10,256,26,8.1,15,0,210,"LeClair, A.",WR,10,1,79,33,0,20,YKW,8,0.5710000000000001
4,2,1,73,1,70,14,64,55,1,1,2,16.0,18,0,32,6,"Hansen, A.",73,225,1,256,0,0.0,0,0,0,"Hansen, A.",FS,1,1,80,50,0,55,YKW,8,0.5710000000000001
5,2,1,74,1,51,14,60,51,1,1,16,16.6,29,0,265,6,"Cutter, D.",72,225,3,256,0,0.0,0,0,0,"Cutter, D.",CB,3,1,80,38,0,49,YKW,8,0.5710000000000001
6,2,3,77,3,63,14,70,50,3,3,4,14.5,32,0,58,6,"Garden, J.",72,225,12,256,11,13.1,75,0,144,"Garden, J.",WR,12,1,80,50,0,22,YKW,8,0.5710000000000001
7,3,1,77,1,60,14,70,40,1,1,34,16.9,39,0,574,6,"Law, D.",69,253,10,250,47,5.6,21,0,263,"Law, D.",WR,10,1,83,27,0,20,COL,8,0.5710000000000001
8,3,1,67,1,70,14,50,45,1,1,1,0.0,0,0,0,6,"McNoodle, M.",68,253,1,250,0,0.0,0,0,0,"McNoodle, M.",SS,1,1,70,60,0,70,COL,8,0.5710000000000001
9,3,1,74,1,51,14,50,57,1,1,22,15.8,30,0,348,6,"Hayden, A.",71,253,1,250,2,10.5,16,0,21,"Hayden, A.",CB,1,1,85,42,0,42,COL,8,0.5710000000000001
10,3,1,73,1,70,14,76,56,1,1,8,16.8,30,0,134,6,"Hendrix, K.",74,253,12,250,0,0.0,0,0,0,"Hendrix, K.",WR,19,1,80,49,0,20,COL,8,0.5710000000000001
11,4,1,66,1,61,14,67,42,1,1,28,20.2,84,0,566,5,"Stormblessed, N.",68,204,12,277,0,0.0,0,0,0,"Stormblessed, N.",WR,12,1,90,27,0,22,ARI,9,0.643
12,4,15,70,15,66,14,42,32,1,1,0,0.0,0,0,0,5,"Mackworthy, R.",70,204,22,277,54,5.4,49,0,291,"Mackworthy, R.",RB,22,1,85,68,0,20,ARI,9,0.643
13,4,75,55,75,55,14,15,64,1,1,29,19.7,51,0,571,5,"Bronko, K.",73,204,1,277,0,0.0,0,0,0,"Bronko, K.",QB,1,1,60,40,0,15,ARI,9,0.643
14,5,15,70,15,65,14,42,30,1,1,33,20.2,76,0,666,5,"Wright, O.",67,196,22,249,50,7.4,56,0,372,"Wright, O.",RB,22,1,85,51,0,22,OCO,9,0.643
15,5,15,61,15,71,14,51,32,1,1,21,13.4,28,0,282,5,"Jenkins, L.",67,196,27,249,0,0.0,0,0,0,"Jenkins, L.",RB,27,1,75,75,0,22,OCO,9,0.643
